EDU_1;EDU_2;Relation
( здесь ),;Новость о том, что в России будут создавать филиалы колоний при крупных предприятиях;attribution_r
кажется шуткой,;Новость о том, что в России будут создавать филиалы колоний при крупных предприятиях;same-unit_m
но, увы, ей не является.;Новость о том, что в России будут создавать филиалы колоний при крупных предприятиях;contrast_m
Это совсем не смешно, друзья.;Новость о том, что в России будут создавать филиалы колоний при крупных предприятиях;evaluation_r
И не смешно это по двум причинам.;Новость о том, что в России будут создавать филиалы колоний при крупных предприятиях;cause_r
Во-первых, по чисто экономическим причинам.;Использовать дешевый (почти бесплатный) труд заключенных,;preparation_r
Использовать дешевый (почти бесплатный) труд заключенных,;И не смешно это по двум причинам.;elaboration_r
это, вероятно последняя надежда для нашей экономики и наших производств,;Использовать дешевый (почти бесплатный) труд заключенных,;evaluation_r
не способных выдерживать хоть сколько-нибудь серьезную конкуренцию.;это, вероятно последняя надежда для нашей экономики и наших производств,;elaboration_r
И эта мера, как обычно, лишь заплатка на очередной заплатке, которая на еще одной заплатке,;Использовать дешевый (почти бесплатный) труд заключенных,;elaboration_r
призванной сдержать растерзанную экономику России.;И эта мера, как обычно, лишь заплатка на очередной заплатке, которая на еще одной заплатке,;purpose_r
Налоги снижать нельзя,;значит что можно?;cause_r
облегчать условия работы нельзя,;Налоги снижать нельзя,;joint_m
снижать риски для предпринимателей нельзя,;Налоги снижать нельзя,;joint_m
значит что можно?;Заставить заключенных работать.;solutionhood_r
Заставить заключенных работать.;И эта мера, как обычно, лишь заплатка на очередной заплатке, которая на еще одной заплатке,;evidence_r
Мы же понимаем, что как бы это не подавалось в медиа и документах,;Использовать дешевый (почти бесплатный) труд заключенных,;joint_m
в реальности это будет не добровольная работа, а принудительная?;Мы же понимаем, что как бы это не подавалось в медиа и документах,;contrast_m
Мы же понимаем, что заключенные не будут получать за это никакой зарплаты?;Мы же понимаем, что как бы это не подавалось в медиа и документах,;joint_m
Более того, это ведь уже сейчас происходит.;Мы же понимаем, что как бы это не подавалось в медиа и документах,;elaboration_r
Вспомните, как в прошлом году начальника тюрьмы;Более того, это ведь уже сейчас происходит.;evidence_r
в которой сидела Nadya Tolokonnikova​;Вспомните, как в прошлом году начальника тюрьмы;background_r
отстранили от должности;Вспомните, как в прошлом году начальника тюрьмы;same-unit_m
за то, что у него на зоне процветал рабский труд.;Вспомните, как в прошлом году начальника тюрьмы;cause_r
Заключался он в том, что осужденные женщины занимались пошивом одежды с семи утра до часу ночи, выполняя левые заказы;за то, что у него на зоне процветал рабский труд.;elaboration_r
