EDU_1;EDU_2;Relation
где-нибудь в предгорьях на Кавказе;действие происходит где-нибудь на юге там;elaboration_r
либо в средней азии;действие происходит где-нибудь на юге там;contrast_m
который груши собирает;мужчина лет сорока пяти там;elaboration_r
взял лестницу;мужчина лет сорока пяти там;joint_m
по лестнице на дерево там;мужчина лет сорока пяти там;elaboration_r
на дереве очень много груш сам;мужчина лет сорока пяти там;antithesis_r
урожай тот же;на дереве очень много груш сам;background_r
уже скоро конец лета уже;на дереве очень много груш сам;background_r
вот так собрал там;мужчина лет сорока пяти там;sequence_m
две корзинки собрал;вот так собрал там;result_r
третью собрать не успел там;вот так собрал там;sequence_m
потом мальчик на велосипеде подъезжает;мужчина лет сорока пяти там;sequence_m
велосипед нрзб;потом мальчик на велосипеде подъезжает;antithesis_r
другой велосипед;велосипед нрзб;elaboration_r
не такие;велосипед нрзб;elaboration_r
как было всегда;не такие;joint_m
как в Москве там;не такие;joint_m
у меня был велосипед импортный;велосипед нрзб;evidence_r
националпартород стран;у меня был велосипед импортный;restatement_r
мальчик взял корзину;мужчина лет сорока пяти там;sequence_m
поставил её на передний бампер велосипеда;мальчик взял корзину;sequence_m
по-особенному поставил её;поставил её на передний бампер велосипеда;elaboration_r
повёз её;мальчик взял корзину;sequence_m
едет едет там;мужчина лет сорока пяти там;sequence_m
едет с горки помайне;едет едет там;background_r
и едет там навстречу какая-то девочка;едет едет там;sequence_m
за неё толкнётся;едет едет там;sequence_m
вот так;едет едет там;antithesis_r
потом об камень ударил велосипед;мужчина лет сорока пяти там;sequence_m
и наподжеруку доску упал;потом об камень ударил велосипед;sequence_m
потом идут;мужчина лет сорока пяти там;sequence_m
идут;потом идут;restatement_r
три проходящих там;потом идут;joint_m
мальчики какие-то тоже там;три проходящих там;antithesis_r
либо соседи там;мальчики какие-то тоже там;antithesis_r
там вот как-то соседи там;либо соседи там;restatement_r
помогают ему собрать груши;потом идут;sequence_m
собрать груши;помогают ему собрать груши;restatement_r
он едет там дальше;мужчина лет сорока пяти там;sequence_m
потом;он едет там дальше;sequence_m
поехал там;потом;antithesis_r
остановился на ней;он едет там дальше;sequence_m
и идёт он в гору;он едет там дальше;sequence_m
там по боджонках полоницис;пошёл не к мужчина;background_r
пошёл не к мужчина;мужчина лет сорока пяти там;sequence_m
тот с лестницы спускается;пошёл не к мужчина;joint_m
лестница там;тот с лестницы спускается;elaboration_r
и видит;что вторая корзина там вся пустая;evidence_r
что вторая корзина там вся пустая;тот с лестницы спускается;sequence_m
ну и потом как-то всё;мужчина лет сорока пяти там;antithesis_r
вот как;ну и потом как-то всё;restatement_r
