level_0	index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
5500	5512	она не перегружает волосы	В ней нет ничего лишнего,	joint_m	4	5.5	0	4	0	5.5	1.0	5	4.2	1	5	1	4.2	1.0	0.7483314773547883	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	1	1	0	1	1	0	0	0	0	0.0	0.2	0.2	1	0	0	0	2
5501	5513	и не способствует их преждевременному загрязнению	В ней нет ничего лишнего,	joint_m	6	7.333333333333333	0	6	0	7.333333333333333	1.0	5	4.2	1	5	1	4.2	1.0	0.3248953873693071	1	1	1	0	0	0	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0	1	0	1	1	0	1	1	0	0	0	0	0.0	0.2	0.2	1	0	0	0	2
5502	5514	несмотря на то, что я ее наношу близко к корням.	и не способствует их преждевременному загрязнению	concession_r	10	3.9	0	10	0	3.9	1.0	6	7.333333333333333	0	6	0	7.333333333333333	1.0	0.7693092581620721	1	1	0	2	0	0	0	0.1	0.0	0.1	2	0	1	0	3	1	1	1	0	0	0	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0	1	0	1	1
5503	5515	Расход в моем случае относительно большой,	Трогаешь их	joint_m	6	6.166666666666667	1	6	1	6.166666666666667	1.0	2	5.0	1	2	1	5.0	1.0	0.05092462484343453	2	0	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1
5504	5516	поллитровая банка за пару месяцев регулярного (после каждого мытья) использования опустела наполовину.	Расход в моем случае относительно большой,	evidence_r	12	7.583333333333333	0	12	0	7.583333333333333	1.0	6	6.166666666666667	1	6	1	6.166666666666667	1.0	0.22187374646912028	5	1	2	1	0	0	0	0.4166666666666667	0.16666666666666666	0.08333333333333333	2	0	0	0	0	2	0	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
5505	5517	Для более здоровых волос расход будет ощутимо меньше.	Расход в моем случае относительно большой,	comparison_m	8	5.75	1	8	1	5.75	1.0	6	6.166666666666667	1	6	1	6.166666666666667	1.0	0.692422258900221	2	0	2	2	1	0	0	0.25	0.25	0.0	1	0	0	0	0	2	0	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
5506	5518	окрашенным и обесцвеченным волосам — однозначно.	Кому подойдет эта маска:	elaboration_r	6	7.166666666666667	0	6	0	7.166666666666667	1.0	4	5.25	1	4	1	5.25	1.0	0.2908342346129199	1	2	0	1	0	0	0	0.16666666666666666	0.0	0.3333333333333333	0	1	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	1
5507	5519	Неокрашенным и волосам, окрашенными травами — с осторожностью,	Кому подойдет эта маска:	comparison_m	8	6.875	1	8	1	6.875	1.0	4	5.25	1	4	1	5.25	1.0	0.16761830351381954	3	1	1	0	0	0	0	0.375	0.125	0.125	1	1	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	1
5508	5520	поскольку лишний кератин в составе маски с такими волосами может сыграть злую шутку.	Неокрашенным и волосам, окрашенными травами — с осторожностью,	cause_r	13	5.538461538461538	0	13	0	5.538461538461538	1.0	8	6.875	1	8	1	6.875	1.0	0.6297739084487856	5	2	2	0	0	0	0	0.38461538461538464	0.15384615384615385	0.15384615384615385	2	0	1	0	0	3	1	1	0	0	0	0	0.375	0.125	0.125	1	1	0	0	0
5509	5521	Цена: 857р	Кому подойдет эта маска:	elaboration_r	2	4.5	1	2	1	4.5	1.0	4	5.25	1	4	1	5.25	1.0	0.408248290463863	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	1
5510	5522	Объем: 500мл	Цена: 857р	joint_m	2	5.5	1	2	1	5.5	1.0	2	4.5	1	2	1	4.5	1.0	0.5178107940302672	2	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
5511	5523	Оценка: 5	Кому подойдет эта маска:	evaluation_r	2	4.0	1	2	1	4.0	1.0	4	5.25	1	4	1	5.25	1.0	0.45643546458763845	1	0	0	0	0	1	0	0.5	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	1
5512	5524	Срок тестирования: 2 месяца.	Кому подойдет эта маска:	elaboration_r	4	6.25	1	4	1	6.25	1.0	4	5.25	1	4	1	5.25	1.0	0.6465110964513373	3	0	0	0	0	1	0	0.75	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	1
5513	5525	Спрей-кондиционер Angel Professional Color Protect Защита цвета	Спрей-кондиционер предназначен	preparation_r	7	8.142857142857142	5	7	5	8.142857142857142	1.0	2	14.5	0	2	0	14.5	1.0	0.27849992971926174	2	0	0	0	0	0	0	0.2857142857142857	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0
5514	5526	для сохранения цвета окрашенных волос и защиты от солнечных лучей и перегрева	Спрей-кондиционер предназначен	purpose_r	12	5.5	0	11	0	5.5	0.9166666666666666	2	14.5	0	2	0	14.5	1.0	0.1943262000342004	6	1	1	0	0	0	0	0.5	0.08333333333333333	0.08333333333333333	2	2	0	0	0	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0
5515	5527	при укладке.	для сохранения цвета окрашенных волос и защиты от солнечных лучей и перегрева	condition_r	2	5.5	0	2	0	5.5	1.0	12	5.5	0	11	0	5.5	0.9166666666666666	0.3603749850782236	1	0	0	0	0	0	0	0.5	0.0	0.0	1	0	0	0	0	6	1	1	0	0	0	0	0.5	0.08333333333333333	0.08333333333333333	2	2	0	0	0
5516	5528	Но я человек упертый, который не верит в термозащитные свойства и силы спреев,	Спрей-кондиционер предназначен	contrast_m	13	5.076923076923077	1	13	1	5.076923076923077	1.0	2	14.5	0	2	0	14.5	1.0	0.17289384869759983	4	1	2	0	0	0	0	0.3076923076923077	0.15384615384615385	0.07692307692307693	1	2	0	1	2	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0
5517	5529	мне подавай более плотные текстуры или в особо запущенных случаях — трехступенчатую несмываемую систему.	Но я человек упертый, который не верит в термозащитные свойства и силы спреев,	contrast_m	14	6.5	0	14	0	6.5	1.0	13	5.076923076923077	1	13	1	5.076923076923077	1.0	0.654100603266674	3	1	4	2	0	0	0	0.21428571428571427	0.2857142857142857	0.07142857142857142	1	1	0	0	1	4	1	2	0	0	0	0	0.3076923076923077	0.15384615384615385	0.07692307692307693	1	2	0	1	2
5518	5530	Консистенция спрея двухфазная,	поэтому перед применением нужно взболтать бутылку.	cause_r	3	9.333333333333334	1	3	1	9.333333333333334	1.0	6	7.5	0	6	0	7.5	1.0	0.6	2	0	1	0	0	0	0	0.6666666666666666	0.3333333333333333	0.0	0	0	0	0	0	2	1	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	0
5519	5531	поэтому перед применением нужно взболтать бутылку.	Спрей-кондиционер предназначен	joint_m	6	7.5	0	6	0	7.5	1.0	2	14.5	0	2	0	14.5	1.0	0.4295555804328571	2	1	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	0	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0
5520	5532	Распыление широким мелкодисперсным облаком	поэтому перед применением нужно взболтать бутылку.	joint_m	4	9.75	1	4	1	9.75	1.0	6	7.5	0	6	0	7.5	1.0	0.7615773105863908	2	0	2	0	0	0	0	0.5	0.5	0.0	0	0	0	0	0	2	1	1	1	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	0
5521	5533	Мало того, что он облегчает расчесывание,	Этот спрей очень хорош для моих волос.	evidence_r	6	6.0	1	6	1	6.0	1.0	7	4.571428571428571	1	7	1	4.571428571428571	1.0	0.7343911186354678	1	1	0	1	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	0	1	0	2	2	0	1	1	0	0	0	0.2857142857142857	0.14285714285714285	0.0	1	0	0	0	0
5522	5534	его много не надо,	Мало того, что он облегчает расчесывание,	elaboration_r	4	3.75	0	4	0	3.75	1.0	6	6.0	1	6	1	6.0	1.0	0.6048583789091339	0	0	0	2	0	0	0	0.0	0.0	0.0	0	0	0	1	1	1	1	0	1	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	0	1	0	2
5523	5535	а так же нет необходимости обновлять каждые два часа,	его много не надо,	joint_m	9	5.0	0	9	0	5.0	1.0	4	3.75	0	4	0	3.75	1.0	0.13488456205000868	2	2	0	1	0	1	0	0.2222222222222222	0.0	0.2222222222222222	0	1	0	1	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0	0	0	1	1
