index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
0	где-нибудь в предгорьях на Кавказе	действие происходит где-нибудь на юге там	elaboration_r	5	6.0	1	5	1	6.0	1.0	6	6.0	0	6	0	6.0	1.0	0.7963330593811955	1	0	0	1	0	0	0	0.2	0.0	0.0	2	0	0	0	0	2	1	0	2	0	0	0	0.3333333333333333	0.0	0.16666666666666666	1	0	0	0	0
1	либо в средней азии	действие происходит где-нибудь на юге там	contrast_m	4	4.0	0	4	0	4.0	1.0	6	6.0	0	6	0	6.0	1.0	0.6439209162167846	1	0	1	0	0	0	0	0.25	0.25	0.0	1	1	0	0	0	2	1	0	2	0	0	0	0.3333333333333333	0.0	0.16666666666666666	1	0	0	0	0
2	который груши собирает	мужчина лет сорока пяти там	elaboration_r	3	6.666666666666667	0	3	0	6.666666666666667	1.0	5	4.6	0	5	0	4.6	1.0	0.7200822998230956	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	1	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
3	взял лестницу	мужчина лет сорока пяти там	joint_m	2	6.0	0	2	0	6.0	1.0	5	4.6	0	5	0	4.6	1.0	0.5773502691896257	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
4	по лестнице на дерево там	мужчина лет сорока пяти там	elaboration_r	5	4.2	0	5	0	4.2	1.0	5	4.6	0	5	0	4.6	1.0	0.816496580927726	2	0	0	1	0	0	0	0.4	0.0	0.0	2	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
5	на дереве очень много груш сам	мужчина лет сорока пяти там	antithesis_r	6	4.166666666666667	0	6	0	4.166666666666667	1.0	5	4.6	0	5	0	4.6	1.0	0.6888476272589829	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
6	урожай тот же	на дереве очень много груш сам	background_r	3	3.6666666666666665	0	3	0	3.6666666666666665	1.0	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.5163977794943222	1	0	0	0	0	0	0	0.3333333333333333	0.0	0.0	0	0	0	1	0	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
7	уже скоро конец лета уже	на дереве очень много груш сам	background_r	5	4.0	0	4	0	4.0	0.8	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.7302967433402214	2	0	0	3	0	0	0	0.4	0.0	0.0	0	0	0	0	0	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
8	вот так собрал там	мужчина лет сорока пяти там	sequence_m	4	3.75	0	4	0	3.75	1.0	5	4.6	0	5	0	4.6	1.0	0.769800358919501	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
9	две корзинки собрал	вот так собрал там	cause_r	3	5.666666666666667	0	3	0	5.666666666666667	1.0	4	3.75	0	4	0	3.75	1.0	0.7394905335190823	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
10	третью собрать не успел там	вот так собрал там	sequence_m	5	4.6	0	5	0	4.6	1.0	4	3.75	0	4	0	3.75	1.0	0.534909762711857	0	2	1	1	0	0	0	0.0	0.2	0.4	0	0	0	1	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
11	потом мальчик на велосипеде подъезжает	мужчина лет сорока пяти там	sequence_m	5	6.8	0	5	0	6.8	1.0	5	4.6	0	5	0	4.6	1.0	0.6141115238185401	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
12	велосипед нрзб	потом мальчик на велосипеде подъезжает	elaboration_r	2	6.5	0	2	0	6.5	1.0	5	6.8	0	5	0	6.8	1.0	0.5619514869490163	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
13	другой велосипед	велосипед нрзб	elaboration_r	2	7.5	0	2	0	7.5	1.0	2	6.5	0	2	0	6.5	1.0	0.7684051304872667	1	0	1	0	0	0	0	0.5	0.5	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
14	не такие	велосипед нрзб	elaboration_r	2	3.5	0	2	0	3.5	1.0	2	6.5	0	2	0	6.5	1.0	0.5976143046671969	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
15	как было всегда	не такие	joint_m	3	4.333333333333333	0	3	0	4.333333333333333	1.0	2	3.5	0	2	0	3.5	1.0	0.2947659609337933	0	1	0	1	0	0	0	0.0	0.0	0.3333333333333333	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0
16	как в Москве там	не такие	joint_m	4	3.25	1	4	1	3.25	1.0	2	3.5	0	2	0	3.5	1.0	0.2908342346129199	0	0	0	1	0	0	0	0.0	0.0	0.0	1	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0
17	у меня был велосипед импортный	велосипед нрзб	evidence_r	5	5.2	0	5	0	5.2	1.0	2	6.5	0	2	0	6.5	1.0	0.3073060480036786	1	1	1	0	0	0	0	0.2	0.2	0.2	1	0	0	0	1	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
18	националпартород стран	у меня был велосипед импортный	restatement_r	2	10.5	0	2	0	10.5	1.0	5	5.2	0	5	0	5.2	1.0	0.6324555320336759	2	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0	0	0	1	1	1	0	0	0	0	0.2	0.2	0.2	1	0	0	0	1
19	мальчик взял корзину	мужчина лет сорока пяти там	sequence_m	3	6.0	0	3	0	6.0	1.0	5	4.6	0	5	0	4.6	1.0	0.7200822998230956	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
20	поставил её на передний бампер велосипеда	мальчик взял корзину	sequence_m	6	6.0	0	6	0	6.0	1.0	3	6.0	0	3	0	6.0	1.0	0.27106061490336286	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
21	по-особенному поставил её	поставил её на передний бампер велосипеда	elaboration_r	3	7.666666666666667	0	3	0	7.666666666666667	1.0	6	6.0	0	6	0	6.0	1.0	0.6984302957695782	0	1	0	1	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	0	1	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	1
22	повёз её	мальчик взял корзину	sequence_m	2	3.5	0	2	0	3.5	1.0	3	6.0	0	3	0	6.0	1.0	0.447213595499958	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
23	едет едет там	мужчина лет сорока пяти там	sequence_m	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	5	4.6	0	5	0	4.6	1.0	0.5443310539518174	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
24	едет с горки помайне	едет едет там	background_r	4	4.25	0	4	0	4.25	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.48562239187831224	1	1	0	1	0	0	0	0.25	0.0	0.25	1	0	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
25	и едет там навстречу какая-то девочка	едет едет там	sequence_m	6	5.333333333333333	0	6	0	5.333333333333333	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.15784308913485165	1	1	0	2	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	1	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
26	за неё толкнётся	едет едет там	sequence_m	3	4.666666666666667	0	3	0	4.666666666666667	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.5393642354005828	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	1	0	0	0	1	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
27	вот так	едет едет там	evaluation_r	2	3.0	0	2	0	3.0	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.5547001962252291	0	0	0	1	0	0	0	0.0	0.0	0.0	0	0	0	1	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
28	потом об камень ударил велосипед	мужчина лет сорока пяти там	sequence_m	5	5.6	0	5	0	5.6	1.0	5	4.6	0	5	0	4.6	1.0	0.7328293611703254	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
29	и наподжеруку доску упал	потом об камень ударил велосипед	sequence_m	4	5.25	0	4	0	5.25	1.0	5	5.6	0	5	0	5.6	1.0	0.7705517503711221	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
30	потом идут	мужчина лет сорока пяти там	sequence_m	2	4.5	0	2	0	4.5	1.0	5	4.6	0	5	0	4.6	1.0	0.5773502691896257	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
31	идут	потом идут	restatement_r	1	4.0	0	1	0	4.0	1.0	2	4.5	0	2	0	4.5	1.0	0.6324555320336759	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
32	три проходящих там	потом идут	joint_m	3	5.333333333333333	0	3	0	5.333333333333333	1.0	2	4.5	0	2	0	4.5	1.0	0.4262708835883467	0	1	0	1	0	1	0	0.0	0.0	0.3333333333333333	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
33	мальчики какие-то тоже там	три проходящих там	evaluation_r	4	5.75	0	4	0	5.75	1.0	3	5.333333333333333	0	3	0	5.333333333333333	1.0	0.4779076447896994	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	0	0	1	0	1	0	1	0	0.0	0.0	0.3333333333333333	0	0	0	0	0
34	либо соседи там	мальчики какие-то тоже там	evaluation_r	3	4.333333333333333	0	3	0	4.333333333333333	1.0	4	5.75	0	4	0	5.75	1.0	0.6504436355879909	1	0	0	1	0	0	0	0.3333333333333333	0.0	0.0	0	1	0	0	0	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	0
35	там вот как-то соседи там	либо соседи там	restatement_r	5	4.2	0	4	0	4.2	0.8	3	4.333333333333333	0	3	0	4.333333333333333	1.0	0.4592142315875907	1	0	0	3	0	0	0	0.2	0.0	0.0	0	0	0	1	0	1	0	0	1	0	0	0	0.3333333333333333	0.0	0.0	0	1	0	0	0
36	помогают ему собрать груши	потом идут	sequence_m	4	5.75	0	4	0	5.75	1.0	2	4.5	0	2	0	4.5	1.0	0.19153585455608457	1	2	0	0	0	0	0	0.25	0.0	0.5	0	0	0	0	1	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
