index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
0	ну я б сказала	не очень правдоподобная история	evaluation_r	4	2.75	0	4	0	2.75	1.0	4	7.0	0	4	0	7.0	1.0	0.5388159060803247	0	1	0	0	0	0	0	0.0	0.0	0.25	0	0	0	2	1	1	0	1	1	0	0	0	0.25	0.25	0.0	0	0	0	1	0
1	не очень правдоподобная история	человек собирает груши	preparation_r	4	7.0	0	4	0	7.0	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.5664775805625395	1	0	1	1	0	0	0	0.25	0.25	0.0	0	0	0	1	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
2	потому что этот человек	не очень правдоподобная история	cause_r	4	5.0	0	4	0	5.0	1.0	4	7.0	0	4	0	7.0	1.0	0.672021505032247	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	1	0	0	1	0	1	1	0	0	0	0.25	0.25	0.0	0	0	0	1	0
3	убирающий собирающий груши	потому что этот человек	elaboration_r	3	8.0	0	3	0	8.0	1.0	4	5.0	0	4	0	5.0	1.0	0.36603192961036374	1	2	0	0	0	0	0	0.3333333333333333	0.0	0.6666666666666666	0	0	0	0	0	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	1	0	0
4	наверняка он все-таки звук слышит хорошо	потому что этот человек	joint_m	6	5.833333333333333	0	6	0	5.833333333333333	1.0	4	5.0	0	4	0	5.0	1.0	0.3856394388903051	1	1	0	2	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	0	0	1	1	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	1	0	0
5	если только он не глухонемой	и не реагировал никак на этого мальчика	cause_r	5	4.8	0	5	0	4.8	1.0	7	4.714285714285714	0	7	0	4.714285714285714	1.0	0.7161148740394329	0	0	1	0	0	0	0	0.0	0.2	0.0	0	0	1	2	1	1	1	0	1	0	0	0	0.14285714285714285	0.0	0.14285714285714285	1	1	0	1	0
6	и не реагировал никак на этого мальчика	потому что этот человек	evaluation_r	7	4.714285714285714	0	7	0	4.714285714285714	1.0	4	5.0	0	4	0	5.0	1.0	0.4027762100501201	1	1	0	1	0	0	0	0.14285714285714285	0.0	0.14285714285714285	1	1	0	1	0	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	1	0	0
7	а я должна рассказать вот например вам	вот тем более мальчишки	evaluation_r	7	4.571428571428571	0	7	0	4.571428571428571	1.0	4	5.0	0	4	0	5.0	1.0	0.4344707480065306	0	1	1	1	0	0	0	0.0	0.14285714285714285	0.14285714285714285	0	1	0	1	2	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	1
8	что вы не видели этого фильма	а я должна рассказать вот например вам	joint_m	6	4.0	0	6	0	4.0	1.0	7	4.571428571428571	0	7	0	4.571428571428571	1.0	0.7071067811865476	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	0	1	1	1	0	1	1	1	0	0	0	0.0	0.14285714285714285	0.14285714285714285	0	1	0	1	2
9	да что в нем происходит	что вы не видели этого фильма	restatement_r	5	3.8	0	5	0	3.8	1.0	6	4.0	0	6	0	4.0	1.0	0.7878385971583354	0	1	0	0	0	0	0	0.0	0.0	0.2	1	1	0	0	2	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	0	1	1	1
