EDU_1;EDU_2;Relation
ну сюжет фильма;у него стоят две корзинки внизу около дерева;preparation_r
который сейчас посмотрели смотрел;ну сюжет фильма;elaboration_r
такой солнечный день;ну сюжет фильма;background_r
мужчина собирает с дерева груши;у него стоят две корзинки внизу около дерева;background_r
и лестница,;у него стоят две корзинки внизу около дерева;joint_m
на которую он забирается;и лестница,;elaboration_r
и собирает груши с дерева;на которую он забирается;sequence_m
вот он спустился;у него стоят две корзинки внизу около дерева;sequence_m
поставил корзинку;вот он спустился;sequence_m
и поднялся опять за следующими грушами;вот он спустился;sequence_m
мимо проезжал мальчик на велосипеде,;у него стоят две корзинки внизу около дерева;sequence_m
остановился;мимо проезжал мальчик на велосипеде,;sequence_m
посмотрел на мужчину;мимо проезжал мальчик на велосипеде,;sequence_m
который собирает груши;посмотрел на мужчину;elaboration_r
на груши;мимо проезжал мальчик на велосипеде,;sequence_m
взял одну корзинку;мимо проезжал мальчик на велосипеде,;sequence_m
поставил себе на багажник велосипеда;мимо проезжал мальчик на велосипеде,;sequence_m
и поехал дальше;мимо проезжал мальчик на велосипеде,;sequence_m
навстречу навстречу ему попалась девочка тоже на велосипеде;с него слетела шляпа;cause_r
он засмотрелся на неё;навстречу навстречу ему попалась девочка тоже на велосипеде;sequence_m
с него слетела шляпа;он оглянулся;cause_r
он оглянулся;у него стоят две корзинки внизу около дерева;sequence_m
наехал на камень;он оглянулся;cause_r
и упал;он оглянулся;cause_r
груши рассыпались;он оглянулся;cause_r
он поранил ногу;он оглянулся;cause_r
встал;он оглянулся;sequence_m
начал отряхиваться;он оглянулся;sequence_m
рядом стояли три мальчика;у него стоят две корзинки внизу около дерева;sequence_m
они помогли ему;рядом стояли три мальчика;sequence_m
взяли корзину;они помогли ему;evidence_r
собрали груши;взяли корзину;sequence_m
поставили ему на велосипед;взяли корзину;sequence_m
подняли его шляпу;взяли корзину;sequence_m
отряхнули;взяли корзину;sequence_m
отдали ему;взяли корзину;sequence_m
он им дал три груши;взяли корзину;sequence_m
и поехал дальше;взяли корзину;sequence_m
а они пошли в ту сторону;рядом стояли три мальчика;contrast_m
где тот мужчина собирал груши;а они пошли в ту сторону;background_r
в это время мужчина с= спустился с дерева;увидел;background_r
увидел;у него стоят две корзинки внизу около дерева;sequence_m
ш= что одной корзинки нет;увидел;evidence_r
очень удивился;увидел;evaluation_r
в это время эти подошли;он увидел,;background_r
три мальчика мимо проходили;в это время эти подошли;restatement_r
он увидел,;у него стоят две корзинки внизу около дерева;sequence_m
что они несут груши;он увидел,;background_r
тоже удивился;он увидел,;evaluation_r
поглядел на них;он увидел,;sequence_m
но они прошли мимо;поглядел на них;antithesis_r
и он поглядел на них им вслед;поглядел на них;cause_r
и всё всё;у него стоят две корзинки внизу около дерева;evaluation_r
сюжет весь;и всё всё;restatement_r
