EDU_1;EDU_2;Relation
собирает к себе в фартук;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
вот потом спускается вниз;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
вытрясает все груши в корзины;вот потом спускается вниз;sequence_m
вот и так ещё раз и ещё раз;вот потом спускается вниз;sequence_m
мимо проезжает мальчик с велосипедом;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
на велосипеде;мимо проезжает мальчик с велосипедом;restatement_r
вот останавливается;мимо проезжает мальчик с велосипедом;sequence_m
хочет взять одну грушку или две груши;мимо проезжает мальчик с велосипедом;evaluation_r
вот и подумал-подумал;хочет взять одну грушку или две груши;sequence_m
взял в итоге целую корзину;вот и подумал-подумал;cause_r
дальше сюжет идёт так;мимо проезжает мальчик с велосипедом;evaluation_r
как будто бы он помогает этому  мужчине средних лет;дальше сюжет идёт так;evaluation_r
но на самом деле всё будет раскрыто позже;дальше сюжет идёт так;antithesis_r
вот мальчик значит едет по полю;ну и у него слетает шляпа;cause_r
вот навстречу ему едет девочка;вот мальчик значит едет по полю;sequence_m
вот мальчик с ней соприкасается по касательной;вот мальчик значит едет по полю;sequence_m
ну и у него слетает шляпа;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
красивая шляпа такая;ну и у него слетает шляпа;evaluation_r
вот;красивая шляпа такая;evaluation_r
с длинными большими полами;красивая шляпа такая;elaboration_r
соответственно мальчик по касательной задевает девочку;падает;cause_r
падает;ну и у него слетает шляпа;cause_r
рассыпает все груши;падает;cause_r
которые у него в корзинке;рассыпает все груши;elaboration_r
и соответственно подходят мальчишки;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
три парня;и соответственно подходят мальчишки;elaboration_r
помогают парню встать;и соответственно подходят мальчишки;sequence_m
вот отряхают его;и соответственно подходят мальчишки;sequence_m
отрясают его вот;и соответственно подходят мальчишки;sequence_m
и помогают собрать груши;и соответственно подходят мальчишки;sequence_m
вот за это в благодарность мальчик отдаёт им три груши;и соответственно подходят мальчишки;cause_r
и уезжает дальше;и соответственно подходят мальчишки;sequence_m
следующий переводится камера на;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
возвращается на мужчину;следующий переводится камера на;restatement_r
который собирает груши;возвращается на мужчину;elaboration_r
он спускается вниз;следующий переводится камера на;sequence_m
видит;что одного ведёрка нету;evidence_r
что одного ведёрка нету;следующий переводится камера на;sequence_m
и оказывается что;ведёрко скорее всего мальчик украл просто;evidence_r
ведёрко скорее всего мальчик украл просто;следующий переводится камера на;evaluation_r
тут проходят три парня;мужчина средних лет на лестнице собирает груши с дерева;sequence_m
которые с грушами;тут проходят три парня;elaboration_r
мимо него;тут проходят три парня;background_r
он на них смотрит;тут проходят три парня;background_r
и видео заканчивается;мужчина средних лет на лестнице собирает груши с дерева;evaluation_r
